#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
RFX1_trans_act       PF04589.18 XP_034852262.1       -            1.3e-63  214.5  64.8   1.2e-60  204.8  30.1   4.5   3   1   3   6   6   6   4 RFX1 transcription activation region
RFX_DNA_binding      PF02257.21 XP_034852262.1       -            2.2e-33  115.1   0.1   5.1e-33  113.9   0.1   1.7   1   0   0   1   1   1   1 RFX DNA-binding domain
RFX1_trans_act       PF04589.18 XP_034852263.1       -            1.3e-63  214.5  64.8   1.2e-60  204.8  30.1   4.5   3   1   3   6   6   6   4 RFX1 transcription activation region
RFX_DNA_binding      PF02257.21 XP_034852263.1       -            2.2e-33  115.1   0.1   5.1e-33  113.9   0.1   1.7   1   0   0   1   1   1   1 RFX DNA-binding domain
RFX1_trans_act       PF04589.18 XP_034852264.1       -            1.3e-69  233.9  43.4     6e-67  225.3   3.6   4.9   3   1   1   5   5   5   3 RFX1 transcription activation region
RFX_DNA_binding      PF02257.21 XP_034852264.1       -            2.5e-33  114.9   0.1   5.6e-33  113.8   0.1   1.6   1   0   0   1   1   1   1 RFX DNA-binding domain
RFX1_trans_act       PF04589.18 XP_054317657.1       -            1.5e-69  233.7  43.3   9.6e-67  224.6   4.3   4.8   3   1   2   5   5   5   3 RFX1 transcription activation region
RFX_DNA_binding      PF02257.21 XP_054317657.1       -            2.6e-33  114.9   0.1   5.9e-33  113.7   0.1   1.6   1   0   0   1   1   1   1 RFX DNA-binding domain
RFX1_trans_act       PF04589.18 XP_054317658.1       -            2.6e-69  233.0  44.3   9.9e-67  224.6   4.4   4.7   3   1   1   5   5   5   3 RFX1 transcription activation region
RFX_DNA_binding      PF02257.21 XP_054317658.1       -            2.2e-33  115.1   0.1   5.4e-33  113.8   0.1   1.7   1   0   0   1   1   1   1 RFX DNA-binding domain
RFX1_trans_act       PF04589.18 XP_054317659.1       -            6.6e-63  212.2  70.6   2.1e-60  204.0  30.8   4.5   3   1   1   5   5   5   3 RFX1 transcription activation region
RFX_DNA_binding      PF02257.21 XP_054317659.1       -            2.2e-33  115.1   0.1   5.2e-33  113.9   0.1   1.7   1   0   0   1   1   1   1 RFX DNA-binding domain
RFX1_trans_act       PF04589.18 XP_054317661.1       -            2.3e-66  223.4  29.6   1.5e-63  214.2   0.3   4.1   3   1   1   4   4   4   2 RFX1 transcription activation region
RFX_DNA_binding      PF02257.21 XP_054317661.1       -            2.5e-33  114.9   0.1   5.6e-33  113.8   0.1   1.6   1   0   0   1   1   1   1 RFX DNA-binding domain
RFX1_trans_act       PF04589.18 XP_063514780.1       -              1e-58  198.6  48.3   9.5e-57  192.1  28.4   3.7   3   1   1   4   4   4   2 RFX1 transcription activation region
RFX_DNA_binding      PF02257.21 XP_063514780.1       -              2e-33  115.2   0.1   4.7e-33  114.0   0.1   1.7   1   0   0   1   1   1   1 RFX DNA-binding domain
RFX1_trans_act       PF04589.18 XP_063514781.1       -            5.8e-61  205.8  51.2   2.4e-58  197.3  29.0   4.8   3   1   3   6   6   6   4 RFX1 transcription activation region
RFX_DNA_binding      PF02257.21 XP_063514781.1       -            2.3e-33  115.0   0.1   5.4e-33  113.9   0.1   1.7   1   0   0   1   1   1   1 RFX DNA-binding domain
RFX1_trans_act       PF04589.18 XP_057609354.1       -            1.3e-55  188.5  73.1   8.7e-52  176.0  24.3   4.8   3   1   2   5   5   5   3 RFX1 transcription activation region
RFX_DNA_binding      PF02257.21 XP_057609354.1       -            2.3e-33  115.1   0.1   5.3e-33  113.9   0.1   1.7   1   0   0   1   1   1   1 RFX DNA-binding domain
RFX1_trans_act       PF04589.18 XP_057609355.1       -            3.7e-61  206.5  51.1     2e-58  197.6  29.0   4.9   3   1   3   6   6   6   4 RFX1 transcription activation region
RFX_DNA_binding      PF02257.21 XP_057609355.1       -            2.1e-33  115.2   0.1   4.7e-33  114.0   0.1   1.6   1   0   0   1   1   1   1 RFX DNA-binding domain
RFX1_trans_act       PF04589.18 XP_057609356.1       -            4.5e-61  206.2  51.1   2.2e-58  197.5  29.0   4.9   3   1   3   6   6   6   4 RFX1 transcription activation region
RFX_DNA_binding      PF02257.21 XP_057609356.1       -            2.2e-33  115.1   0.1   5.1e-33  113.9   0.1   1.7   1   0   0   1   1   1   1 RFX DNA-binding domain
RFX1_trans_act       PF04589.18 XP_057609357.1       -            8.5e-73  244.3  34.8   1.5e-68  230.5   0.1   5.5   2   1   3   6   6   6   4 RFX1 transcription activation region
RFX_DNA_binding      PF02257.21 XP_057609357.1       -            2.6e-33  114.8   0.1     6e-33  113.7   0.1   1.6   1   0   0   1   1   1   1 RFX DNA-binding domain
RFX1_trans_act       PF04589.18 XP_059552579.1       -            2.4e-72  242.8  36.3   1.7e-68  230.3   0.3   5.5   2   1   4   6   6   6   4 RFX1 transcription activation region
RFX_DNA_binding      PF02257.21 XP_059552579.1       -            2.6e-33  114.9   0.1     6e-33  113.7   0.1   1.6   1   0   0   1   1   1   1 RFX DNA-binding domain
RFX1_trans_act       PF04589.18 XP_059552580.1       -              4e-69  232.4  37.1   2.7e-67  226.4   4.1   5.0   2   1   3   5   5   5   3 RFX1 transcription activation region
RFX_DNA_binding      PF02257.21 XP_059552580.1       -            2.6e-33  114.9   0.1     6e-33  113.7   0.1   1.7   1   0   0   1   1   1   1 RFX DNA-binding domain
